,Tweet Text,Informativeness
875,@allliephillips okay! I just have to be back at 2 for work if thats alright,off-topic
876,Come on Blue! (@ NY Football Giants Headquarters) http://t.co/YR5LyeSZ,off-topic
877,And that's a wrap 7-0 Falcons #RiseTheFup #UnStoppable!!!!,off-topic
878,Hopefully this storm is as bad as they say it is,on-topic
879,Ugh why are gas station attendants such creeps? Young dude tells me oh you look so great and LITERALLY wiggles his eyebrows. #gross,off-topic
880,"@twc_hurricane: Partial crane collapse at 157 W. 57th St., a high-rise under construction in NYC. Crane dangling over street. #NYC #Sandy",on-topic
881,@Qu3Qa09 LMAOO!!! OMG I swear ill never forget that day!!!  But it's way worse! I wanna go upstairs and just curse her kid out,off-topic
882,@PaulGazda back in NYC for a week now. It is a ghost town here with everything shut down. :-),on-topic
883,#GottaAceMySATexam : OH LORD: I really wish our son had found that previously http://t.co/kvZ5cqw9 ya better get this Landry Jones ijm,off-topic
884,Yuh tink dat tree gon lash up mi car? - Grandma,off-topic
885,@MittRomney a little nervous about Sandy seriously?This going to be terrible so many are going to lose so much #getyourheadoutofyourass,on-topic
886,@kristenicole_24 well you fucking suck. Lol,off-topic
887,Store still not open but people using the free Apple wifi. http://t.co/5a8O8biU,off-topic
888,"Our empty, wet balcony. #upperwestside #sandy #nyc  @ Trinity House http://t.co/FJkoKoHM",on-topic
889,@twogirls1cav but it's still pretty bad here cus the rivers flooding and storm surges and shit,on-topic
890,@snytv does the jets need to make coaching changes.... Ryan or Sparano.,off-topic
891,@ILoveALLTheHoes: I like my bitch conceited.,off-topic
892,"Bye, bye NYC subway...see ya next weekend #Frankenstorm",on-topic
893,"Have a blanket, pillow and sweatshirt. I'm good",off-topic
894,I don't wanna try hallucinogens I already trip like a motherfucker,off-topic
895,"Power went out. Sister, little cousin and I are playing blurt!! @ Casa de Cruz http://t.co/o2sBj5DE",on-topic
896,What I just saw on my tl! Oh nah,off-topic
897,Ariel's reaction to my halloween costume. LOL http://t.co/flJ6yBGV -- YOON (@YOON_AMBUSH),off-topic
898,Friday after the Next &gt;,off-topic
899,Who would bloody think there's a beach in New York.....,on-topic
900,@ChrisSilvester7 dude it didn't even start yet,off-topic
901,I feel like this reporter needs to get out of the waist-high water he's in. #HurricaneSandy http://t.co/TMQzkfw4,on-topic
902,@MrJoebot why you not tells me you tweeting!!???!,off-topic
903,@Jose__Cuerv0: @Lani_LaReina You really do sis love you nena linda. ;) i was tlkin about smoking lml &amp; i love you too manito !!,off-topic
904,Nah mom don't buy me nun at all I just been looking and getting my skool shit on the roll,off-topic
905,TELL ME WHAT I WANNA HEAR TELL ME YOU LOVE ME,off-topic
906,@FerreroAdvocate aww he has the long v neck to show his defined baby chest!,off-topic
907,"I don't know how to react to not having class, I just wanna learn #shitnoonesay time to rage tonight",off-topic
908,@RaisingBoychick you can't always. Matters that you try.,off-topic
909,@SecondAveSagas Are you hearing anything about the subways being completely flooded?,on-topic
910,Everyone: Stop calling fojo the mayor.... Like no.,off-topic
911,This is my crazy husband @ericripert putting tape on the windows and balcony door. He could have been blown away! http://t.co/fCquCD6A,on-topic
912,@_sammrene I like to build anticipation.,off-topic
913,Walking in a pitch black city is the MOST AMAZING FEELING EVER!,off-topic
914,Omw home before they close the atm service!,off-topic
915,Drew Frasier is cracking me up right now,off-topic
916,Yo @fstrazzzz we out on the row boat around ci tommorow?,off-topic
917,Damn car going under!! FDR is gone lol @ My Place http://t.co/D0i4UOKO,on-topic
918,"@mariasherm omg that sounds fun, but how about adding in some@kylieminogue !",off-topic
919,"Awww shit, i lost power :(",on-topic
920,MY WHITE WHALE! pumpkin donuts covered in cinnamon sugar @QueensComfortNY you own my soul @ Queens Comfort http://t.co/vmxXaP8K,off-topic
921,Am very scared to be honest :(,on-topic
922,"Dang, Sandy need to calm this ishhh down, it not even funny anymore, she too wild, that that spazzing nose got to stop",on-topic
923,"bitch please im use to hurricanes,hello im dominican ^_^ @FollowDOMINICAN",on-topic
924,@kalynmAgee I don't even care hahaha I don't feel like fixing it,off-topic
925,@KimFussner our baby is hotter,off-topic
926,@Xo_LoveMeOrNot yea they do lol well in NY they do aha,off-topic
927,"I'm at chinatown fair (New York, NY) http://t.co/xQpzj4at",off-topic
928,Hatches battened. Fly away Sandy. (@ Chez Stek w/ @eelain212) http://t.co/MuHDd655,on-topic
929,Why does Peyton Manning hate Jacob Tamme? #FantasyFootball,off-topic
930,My dog keeps farting because he is so nervous. #HurricaineSandy,on-topic
931,Can't wait to become a nurse and help all these people,on-topic
932,Just posted a photo @ Chai Thai http://t.co/GKpvVUfK,off-topic
933,I was enjoying this  vh1 music moment shit but talking about the deaths of Aaliyah and Eazy E ... so sad,off-topic
934,Off work 5 1/2 hours early AND off tomorrow AND this weekend? Yes please,off-topic
935,Sicilia ubd !!! #HaveToAceMySATexam .. ..better get it while u can http://t.co/WnrDGRJo,off-topic
936,@heey_ara come over this week :p,off-topic
937,@jimeadie '96 was incredible. First Yankee title since 70's,off-topic
938,@ceegambino I didn't get one,off-topic
939,"If anyone wants to forage through Midtown with me for canned goods, I've fashioned rudimentary weapons using items from the hotel maid cart.",off-topic
940,@ennajay_ oh how I wish that would happen.,off-topic
941,"Hurricane Sandy Dinner! Chicken Parm, Spaghetti &amp; Garlic Bread.  @BarbaraAPereira made a great dinner. http://t.co/2E7GuHiK",on-topic
942,"@DoomsdayBeats haha I see you  tbh one thing I've leaned over the years is, no matter how much they like you they won't initiate contact:/",off-topic
943,This place is doing business as usual despite #sandy (@ Il Caffe Latte) http://t.co/JYeXJBBx,on-topic
944,It's a terrible thing to have mom be so upset about something and I'm not home to make her feel better,off-topic
945,@Mistar_p @anewnez some tournament or sumthin i have no idea all i know is were gettin stoned and prolly t32,off-topic
946,Watch the world series I'd rather watch paint rust,off-topic
947,@iLL_body_you @BPavlik5 @downhillkidswag @ant_decicco  bring some southern comfort and well be set..,off-topic
948,"@CrownMyyDew nah , I think It got deleted :/",off-topic
949,@GlenGilmore  Yep Did see them,off-topic
950,I'm at Hiding in Harlem (New York) http://t.co/yT9YQuVa,off-topic
951,The calm before #Sandy. 9AM PATH World Trade Center #calmbeforethestorm #path #wtc #f @ 1 World Trade Center http://t.co/afVxP7jF,on-topic
952,I'm at Manhattan House (New York) http://t.co/wCbcomad,off-topic
953,I'm in the Green Range nigga imma Green Ranger,off-topic
954,@dominiloka lol so? Girls gotta eat too haha. Damn we out to ihop now I haven't had that ina minute!,off-topic
955,When she's crying hug her tight let her know that you won't let anything hurt her that's she's safe and everything will be okay,off-topic
956,Apparently NYC took a beating last night. Thank god I live in an awesome building on a big hill. #100yroldprewar #igotelectricity,on-topic
957,"Working in a store like i do during a hurricane right now is annoying, everyones buggin for no reason",on-topic
958,On the belt parkway taking pics http://t.co/6pfkZtA8,off-topic
959,STFU BITCH RT @tomb0y_in_lace: the only b word women should be called is beautiful. bitches love being called beautiful.,off-topic
960,@AlwaysAboveYouu I'm gud thanks :). She can have that lol.,off-topic
961,Foh!! Two of my followers owe me 2O lmfaooo i saw yaa nigga ya wasnt low !!!,off-topic
962,EXCLUSIVE: #Sandy strikes and leaves behind these remnants (see pic) http://t.co/VlrXKUT8,on-topic
963,You'd be surprised how often I think of you.,off-topic
964,#StupidHuman goes jet skiing in the rising #Hudson river while waiting for #Hurricane #Sandy @ New York City http://t.co/E9Zbu8ZU,on-topic
965,"One fucking second, yur kidding me",off-topic
966,@CalvinGarcia1 Loo is no help at all she made this 100x more confusing. Thank you,off-topic
967,Every single road  around my city it's closed down. Things around here doesn't look good at all...,on-topic
968,Rlly bad at articulating anything important,off-topic
969,It's too cold outside For angels to fly,off-topic
970,@Athomps1021 not even gunna acknowledge that eagles comment. I'm superman tonight lol,off-topic
971,@pdbookworm Also out of shot; Brooklynites jogging (?!) in still gusting winds + innumerable doggies going walkies and poopies.,off-topic
972,@Lornnaaaaa we have a flight on wednesday!,off-topic
973,"@elliotwoods hah, yes i think so. but there's still that one with all the tessellation modes? can't remember the name.",off-topic
974,@woahhshannon liar u dont follow it,off-topic
975,"I'm at Frankenstorm Apocalypse - Hurricane Sandy (New York, NY) w/ 3939 others http://t.co/gABYxvyR",on-topic
976,Recon team reports that while SP and OO survived some pretty significant shop and pump room flooding. http://t.co/ipAkK7VW,off-topic
977,@CoryBooker I hope you get some sleep tonight. Newark will need you tomorrow.,off-topic
978,@AmyConte: NJ would be so bomb right now. http://t.co/7SZT46ri NIGGA.,off-topic
979,"Big green flash outside, but power still on. :/ #NewJersey",on-topic
980,All this damage is going to cost our state millions to fix.,on-topic
981,@melanie_stamey how many miles did you run?,off-topic
982,@MTAInsider Can you confirm trains are closed Tuesday?,on-topic
983,Manhattan is eerily quiet as Sandy approaches http://t.co/wJU7E2t5 Most read by neighbors in #UpperEastSide #NewYork,on-topic
984,Pony rides! @ Queens County Farm Museum http://t.co/nfvjTolb,off-topic
985,Watching Nighmare On Elm Street,off-topic
986,I Fucking DESPIE Stupid People .,off-topic
987,@AdamoRuggiero I'm watching Degrassi and I love you and we're getting married.,off-topic
988,my mom just woke me up to show me that she was lookin at homecoming pics on fb and she really liked my shoes bc she picked them out wat,off-topic
989,when the party ends at 3 and your ride left at 2:30 #TheStruggle @chynoloco,off-topic
990,Nobody knows I've been crazy for so long without you.,off-topic
991,Is the bank or post office open today? i needa go....,off-topic
992,#GottaAceMySATexam : FINALLY!! We wish our son had got that earlier http://t.co/4owRsT6S hurry before its unavailable #tsunami dra,off-topic
993,I survived the #frankenstorm #Sandy #brunch! @ Papacitos http://t.co/FrMuvv8A,on-topic
994,But I'm still eating &amp; drinking ... #hurricanesandy,on-topic
995,Learn to trust the perfect time. So that you may discover that all the pain found in waiting has a magnificent and awesome purpose.,off-topic
996,So much love to giveeee,off-topic
997,The moment when you try and get bread in this city... @ Food Emporium http://t.co/sXw0woKe,off-topic
998,I'm shutting off all my electronics for the night. Goodnight guys! Stay safe.,on-topic
999,sleep over with @JR7_Era tonight &gt;&gt; #favorite,off-topic
1000,If this is #Sandy pre gaming. I don't think I wanna see her party.  @ Far Rockaway http://t.co/DWhSvzj1,on-topic
1001,@Yo_Smaalls oh forgot u were gone this morning. They mad everyone leave alumnae mastro and maybe spellman to stay in Hayes,off-topic
1002,Back in Jersey headin home! Shoutout to @That_krust this time around.,off-topic
1003,"Bryan Singer to direct X-Men: First Class sequel. This news is so great, my face hurts from the metaphorical punch by awesome.",off-topic
1004,@markwhittred you don't wanna be here!!,off-topic
1005,College Ave was the last campus to lose power!!! #perksoflivingonCollegeAve,on-topic
1006,"@mfisherfitness @carriemanolakos @caseytuma I KNEW that was your fitness secret! Acid, Meth and a hurricane. My turn to get snizzzzatched!",off-topic
1007,"@alecherdz thank you babe, hanging in there! All is fine so far",off-topic
1008,if you drink with a straw do you get more messed up ?,off-topic
1009,@PhilipJon bro my classes are canceled for the week. Wanna play Starcraft?,off-topic
1010,"Who ever names these hurricanes obviously needs to know that sandy, Katrina, Irene sound like sweet as names",on-topic
1011,@SamanthaMush light a candle and read a book. #sandysucks,on-topic
1012,Headaches for six days in a row now....,off-topic
1013,WTF my uncle waking us up for,off-topic
1014,"I'm at Lillie's Times Square (New York, NY) http://t.co/piCM321F",off-topic
1015,@chadcat and the Chinese Circa team of 1!,off-topic
1016,@HurrrcaneSandy even though I'm in the storm those tweets are mad funny,on-topic
1017,Yooo christie is goin hard on the mayor of atlatic city,off-topic
1018,Putting Jeff Nichols' Take Shelter on repeat to get fired up.,off-topic
1019,"@sgavb yea, I don't know why they didn't decide to take it down before the storm !! #epic #facepalm",on-topic
1020,@abigail08smith yessss miss you so much xo,off-topic
1021,you know I WAS really worried about manhattan's post-#sandy legging supply... http://t.co/rRsqSHBZ,on-topic
1022,"@montclairprobs Patiently waiting for that E-Mail saying no classes Monday &amp; Tuesday. Oh wait we go to Montclair, we will be open.",off-topic
1023,Wind is howling outside my windows #Sandy,on-topic
1024,IT STARTED WITH A WISSSSPEERRRRR,off-topic
1025,So nice to be back in the US @ New York http://t.co/g7hvS1aT,off-topic
1026,#ToMyFutureSon you will be on ice skates before you can walk. Your gonna be an ice hockey player,off-topic
1027,#hamfr and listening to the xx. Could life be any better? This has been one of my favorite days.,off-topic
1028,Are we living in I Am Legend right now? #feelslikeit #sandy #NYC,on-topic
1029,@montageAce stop lying ! You dont have enough love left to give !! Me &amp; prince took it allllllll,off-topic
1030,#SATstudyTime : GOODNESS We wish my girls found this previously http://t.co/x5l3blBk ya better get this #RiseOfTheZombies guu,off-topic
1031,#GottaAceMySATexam .. OMG wish my brother found that before http://t.co/K0OvERRN ..better get it while u can #TheLadieslove nhv,off-topic
1032,cuddling with my kitty  #hurricane,on-topic
1033,@Roberts175 Since Obama upgraded FEMA it's excellent and can do more than local Govt. It was Bush that put an idiot in charge.,on-topic
1034,#tennis #league cancelled for tomorrow damn #Sandy #safety first,on-topic
1035,Zone A kbm #OMG #StudyingForTheSAT .. you better get it now http://t.co/sF9picpz,off-topic
1036,"I was just overcome with a joy comparable to a snow day back in school. No work tomorrow, thanks #HurricaneSandy",on-topic
1037,@_BiteMeeKEE I called you back I was knocked!!!,off-topic
1038,"At AtlantiCare Regional Medical Center, which is pretty quiet. Flooding's not so bad on Michigan Ave, although winds are high. #sandynj",on-topic
1039,"@thisisariann Thanks sis. 3 days @ home playin table games lol, well we're all safe.",off-topic
1040,Spent this time cleaning out my closet of my summer clothes and replacing them with winter clothes.,off-topic
1041,"@superlucyj Yeah, cos everyone takes masking tape on holiday with them. It's OK, I've drawn crosses on them with one of my daughter's pens",off-topic
1042,"@AlexEngIish lmfao, I knew you would write something about him",off-topic
1043,You not safe no where,off-topic
1044,@MiSZ_J0ZiE thought i was in demand. Niggaz become club promoters and act more high end then a producer,off-topic
1045,"To all my tiger fan friends, now you know how the ALCS felt. One game left of this misery.",off-topic
1046,This aint even that bad anyone remember that east coast blackout 6 years ago,on-topic
1047,"I'm at Makkoli Seafood Buffet (East Brunswick, NJ) http://t.co/cjYue8sK",off-topic
1048,Does anyone know how to the Verizon's back up battery ???,off-topic
1049,Cant move my face because of this facial mask #ILookLikeAFreak,off-topic
1050,@the__davide some idiot can't cool food.,off-topic
1051,Going to watch movies on Netflix. Bye,off-topic
1052,@NoBrownFilter lmaoo I joke. There's just one :),off-topic
1053,I honestly want to punch my mom in the face right now like im coming in to help you stop bitching,off-topic
1054,@Scat_BAMA say no more. I'm gettin it tonight,off-topic
1055,Dude im actually terrified of this storm but im making the best of it,on-topic
1056,@Juiceeeee_ shit gets real tomorrow lol,off-topic
1057,"@elizabettyx3 ..go get em, Sandy won't hurt u. lol",on-topic
1058,I feel like if you got that true trust .. Then insecurities are put on hold..,off-topic
1059,"My dinner = three glasses of the blend of spinach, pineapple, tomato, blackberry and carrot juice and some almonds ^_^",off-topic
1060,"@kidscrafts @Vickie812 sister in law in lindenhurst-flooded out. SIL in Staten Island, house totalled. Flooded both stories - all mud now",on-topic
1061,"2 chicks Russian &amp; Columbian said; they are call girls doing business VIA craigslist, Sandy has been great for biz-got over100 calls today.",off-topic
1062,Why is there nothing to watch ?!?,off-topic
1063,I wish I would've been the one to create the #sandy novelty account,on-topic
1064,500 bed special medical center at the park slope armory #hurrican @ YMCA Sports Complex at Park Slope Armory http://t.co/5HA8mOgG,on-topic
1065,"My bed is calling me, goodnight :*",off-topic
1066,@brokenlinq OH GOD I'M SO SORRY!! :sob:,off-topic
1067,@BenBima there is 22k people  without electricity in Westchester,on-topic
1068,@Nova_Cane_ she Said SStfu She gone Smack ya FacE Off,off-topic
1069,#Harden to houston? What are you doing okc?????,off-topic
1070,#Top10FavouriteSongs yzl OMG #StudyingForTheSAT .. thank God I found this http://t.co/ZbzqEjvd,off-topic
1071,Stocking up for a day of the apocalypse. #emergency #hurricane #sandy #mother #nature @ New York Mart http://t.co/2GBMin3S,on-topic
1072,@nichurch yes i will literally walk to your house with beez no more of this boredom,off-topic
1073,@Trippy_Blanco lol y u calling me a thugg?,off-topic
1074,My street looks so freaky since the street lights went out,on-topic
1075,Goin downstairs for the last the time today.,off-topic
1076,@miiikkkep no that's why I said phony silly,off-topic
1077,Open with food (@ Guy &amp; Gallard) http://t.co/w2E4rza0,off-topic
1078,Dammit we lost the lead. Heated right now,off-topic
1079,@jordanhembrough Saw you on #Today -good for you. Happy for you and hope there's much continued success.,off-topic
1080,"I'm at SONIC Drive In (North Bergen, NJ) http://t.co/aZUEFE0f",off-topic
1081,@GrandHarry don't assume people are on welfare just because they vote Obama.,off-topic
1082,East 10th street officially NO power. Time to play the acoustic guitar by candle light. Sorry neighbors! #Sandy #UrbanCampfire,on-topic
1083,"I never thought I'd say this, but I'm getting over Deb really fucking quick. #Dexter",off-topic
1084,@Caruz_Daddy29 I'd love to see you show up at my door... Right now...to kick my ass...,off-topic
1085,Time to get fat  @ Vyse City http://t.co/yfEIlTI3,off-topic
1086,#TranquilaMaricaPonteABailarGangnamStyle yes SAT EXAM #StudyingForTheSAT // thank God I found this http://t.co/y2C7nsc4,off-topic
1087,@Robert_Rabbit Disney owns Marvel too and I think that has turned out pretty well.,off-topic
1088,"@dcondie line in the supermarket went halfway round the store, but they weren't out of stock or anything. Much worse in zone A areas.",on-topic
1089,Venturing out into the storm!,on-topic
1090,"If they stop this, ill blow the whole line. Except the black guys",off-topic
1091,Just as long as wow is open tomorrow im a happy camper #NeedToLift,off-topic
1092,Hanging in Time Square with Friends! @lazier1502 @BahamianVixen @Its_JustRjay and Nard!  #nyc #timesq @ Time http://t.co/fzQaFYxL,off-topic
1093,I have so much energy I have nothing to do,off-topic
1094,@kelseyyladd i love that song. Its the story of my life..,off-topic
1095,My grandpa said I'm about to go to a shelter to have some coffee. Lmfao,off-topic
1096,#GottaAceMySATexam : !!! We really wish we managed to find that earlier http://t.co/EKApc5oH you better get it now...,off-topic
1097,:/ wish my munchkin was 21 #halloween #party #dateless #sad #bored #facebook #instagram #twitter  @ Espace http://t.co/BnxnY55Z,off-topic
1098,And I was likeee why are u so obsessed with me,off-topic
1099,I just cut Like 50 people to get gas!! Ion care !,off-topic
1100,What people in New York do during a hurricane http://t.co/ZUDNiFuI,on-topic
1101,pretty ricky used to b the shit well when  pleasure was in it,off-topic
1102,Does anyone know if the birds have left NYC? That would mean trouble! #thedayaftertomorrow #sandy,on-topic
1103,People who'd drive thru a storm to make u smile are definitely good friends. #youdonthave2 #appreciated,on-topic
1104,"Power just came on!!!.. But in all Honesty, my prayers go out to those people still without power and flooded homes :(",on-topic
1105,Ive resorted to actually talking to my family at the kitchen table. #shitjustgotreal #weloveeachother,off-topic
1106,"I'm at The Empire Hotel Rooftop (New York, NY) http://t.co/OkC19jQ4",off-topic
1107,My #drug to keep working white chocolate mocha @starbucks  @ Terminal 5 http://t.co/TK1vdRQp,off-topic
1108,"I'm at Park Avenue Autumn (New York, NY) http://t.co/7kPxoJy9",off-topic
1109,Living in the car so my phone charges,off-topic
1110,Omg this is too funny I'm pretty sure this guy just fell asleep while taking a shit,off-topic
1111,@kpep89 like the bitch that she is....power is out. Bored as shit,off-topic
1112,Gotta make a new appointment,off-topic
1113,"RIP baby, I love you  http://t.co/WM9CVVVf",off-topic
1114,I feel special cause I might actually be the only person in Hackensack that has power,off-topic
1115,all I seen on my TL is My power just went out if my power go out I'm taking my ass to sleep fuck twitter !,on-topic
1116,#ToMyFurtureSon I hope you do better than I did with football,off-topic
1117,Jus got off the phone wit my BBY he good so we good !,off-topic
1118,@DBlockEsteban You do ya art book report yet?!,off-topic
1119,That's right! He better find a good movie for me to watch! Lol,off-topic
1120,I should just head to the doctor and be like im in pain. I wanna die. Im also really tired. Cant sleep. Give me pills.,off-topic
1121,Ah it's not so bad outside.,on-topic
1122,"@RUbusproblems: ALL New Brunswick roads (along with rt 18, rt 27 and rt 1) are closed to the public. Aka we're trapped.",off-topic
1123,Con Ed just blew up!,off-topic
1124,this sucks :( I'm supposed to be in there. @jimmyfallon @LateNightJimmy http://t.co/VyefC9N0,off-topic
1125,@aimeehoefler Hope you are safe &amp; dry this AM. We are here if you need us http://t.co/SVNFlVhj. AT,on-topic
1126,Love my chats with my sister  not sure what I would do without you. Love you so much  @cattalla810 http://t.co/EznP8VZs,off-topic
1127,#sandy #longbranch #hurricane  @ Long Branch Beach http://t.co/r8SRs7Ho,on-topic
1128,Just saw the news reporting about seaside it looks horrible,on-topic
1129,I live in o g hood,off-topic
1130,@Yung_Galaxy @Brooklyns_Jay @SKdafrsh1 @DJAYENYC  listen to that link I just retweet tell wa wanna think,off-topic
1131,i hope everyone is safe,on-topic
1132,@Prodr1977 I'm cold I have no winter gear,off-topic
1133,Hope all my friends are alright =/,on-topic
1134,"This CNN reporter in Ocean City, MD needs to GO INSIDE!",off-topic
1135,@MaddieGuammm thanks so much Maddie!! you say safe as well!! :),off-topic
1136,@Nagler yeah but there are better songs! I wanted to do Giants in the Sky lol,off-topic
1137,My boo Mena i miss her @ New York State DMV http://t.co/SXrLTQnL,off-topic
1138,Wondering of there's work tomorrow..hmm (@ The Little Black House ;)) http://t.co/QCwx0uaD,off-topic
1139,Looks like I'm getting fucked up tonight,off-topic
1140,There is not one person I trust and it's sad.,off-topic
1141,I just over heard my mom and dads conversation and it sounds heated. My mom: YOU ARE NOT A PROFESSIONAL SURFER. dad: YES I AM,off-topic
1142,I be flexin &amp; my money come in handy,off-topic
1143,@jessiiicarusso ew ure son is gay shhh,off-topic
1144,@GabMadruga @kellyy2 dude I killed the pizza before Sandy even had a chance,off-topic
1145,Line just to get INTO C-Town.  9th St. Brooklyn. #Frankenstorm http://t.co/GX9CN77X,off-topic
1146,Idk if it's my bass or the winds shaking my house #dreamsandnightmares,on-topic
1147,Why am I still upppp,off-topic
1148,My dad's always grilling... Through blizzards and hurricanes sasha is always on the grill,off-topic
1149,when you have to sugarcoat a situation to make someone feel better. &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt; i'm nervous myself that this hurricane will ruin my house.,on-topic
1150,@allhailkingTJ I can't find you at all lol,off-topic
1151,@damjan_djuric it was bound to happen one day. It drizzles and edgewater floods,on-topic
1152,"This lady on pawnstars has a necklace from elvis as was offered 400,000 dollars for it and didn't take it....what an idiot.",off-topic
1153,#thewalkingdead I love it how the prison guys were just standing like oh snap,off-topic
1154,"B41 is running, good sign of recovery @ Flatbush Ave @ Empire Blvd http://t.co/MB5UZ0vL",off-topic
1155,"I'm at Barclays Center for Sensation (Brooklyn, NY) w/ 411 others http://t.co/dPLDHSLv",off-topic
1156,@KimKardashian I am safe and I love u so much!,off-topic
1157,J! E! T! S! JETS JETS JETS!!!!!!!!!!!!!!!! (@ MetLife Stadium w/ 431 others) http://t.co/eWeVps6j,off-topic
1158,Still findin it hard to fathom this Harden trade....terrible timing and doesn't make any sense......really fucked up my sunday,off-topic
1159,#SATstudyTime : #OMG // I wish we students had found that earlier http://t.co/ogk9D5as hurry before its unavailable #donttextmeif pmb,off-topic
1160,What the fuck is Disney really making a Star Wars 7?! #killingmyself,off-topic
1161,She's not perfect but she's all I want.,off-topic
1162,Do boys keep separate combs for their pubes? Is that a thing?,off-topic
1163,"@MLebronczik: @_kathryn_marie: hi, I'm like super mature and think I'm all chill and stuff. oh Kat. could you be more humble? k.",off-topic
1164,#Crane dangling in NYC. View from my uncle's place.   http://t.co/2Ypoaxlk,off-topic
1165,I'm about to go back to sleep .,off-topic
1166,My throat is fucked up.,off-topic
1167,Fr. Jerome dressed as Mitt Romney. Okay I'm dead,off-topic
1168,#GottaAceMySATexam : #OMG // I wish my brother managed to get this earlier http://t.co/inbDbEXu hurry before its unavailable...,off-topic
1169,#HurricaneSandy is going to ruin Sunday football. #bitch #blowingthroughourwindowssnatchingourpeopleup,on-topic
1170,No power in the crib but I'm maccin in the car charging my phone chilling on this hotspot,on-topic
1171,Pretty awesome!!  Drinking a Firestone 15 (XV) Anniversary Ale by @FirestoneWalker @ Buy Rite Liquors   http://t.co/mrupD0V5,off-topic
1172,Looks like New Yorkers are hitting the gym now before we all put on that Frankenweight #Sandy #Frankenstorm,on-topic
1173,@kokupuff: You don't deserve this!! RT @tynie626: @chansonthegreat @kokupuff @lfresh me&amp;the fam are staying in far rock. *starts worrying*,off-topic
1174,Is going to the gym plausible today? Hmm,off-topic
1175,I know what Ima be for Halloween IMA B DRUNK,off-topic
1176,Can't wait to watch #dexter &amp; #TheWalkingDead tonight!,off-topic
1177,SO MANY GOOD THINGS IM GOING TO EXPLODE,off-topic
1178,@tmac628 really a million times better than last years costume,off-topic
1179,My power just went off,off-topic
1180,Truly home now.....looking forward to change.   #goodnight,off-topic
1181,Drinking a Breakfast Stout by @foundersbrewing @ Buy Rite Liquors  http://t.co/IZI08ZJq,off-topic
1182,There are usually late night diners on the sidewalk here next to Malatesta on Washington &amp; Christopher Sts. #Sandy http://t.co/Uo30Cno9,off-topic
1183,New saying for the day... RG 3 and out - A #Steelers fan at the bar,off-topic
1184,Just confused as to why people are out in this weather... And why they would be out getting frozen yogurt,on-topic
1185,"Everyone is safe, house is ok, cleaning up limbs and branches. Hope everyone else is ok! Big thanks to all my family and friends! #FB",on-topic
1186,Looks like power is out in all of Gramercy over to the river. I see darkness all around from balcony. http://t.co/pzBJS8NW,on-topic
1187,Just moved the car to a safe place. Ready for Sandy to hit NYC,on-topic
1188,@HighSkoolProbs: Our friendship was such a mistake. People from stages,off-topic
1189,boys whos names are justin bieber &gt;&gt;&gt;&gt;&gt;  i dont think anyone understands my love for justin like really,off-topic
1190,You guys doing okay?  @defiantlydutch,on-topic
1191,So sleepy... Too drunk to lay down...,off-topic
1192,I already have cabin fever!!!!,off-topic
1193,I have practice driving but i cant because of this stupid hurricane ... So what about that license now..,on-topic
1194,@Kayrislizabeth you change your number all the time #stopit,off-topic
1195,She's prepared for the hurricane :D http://t.co/N6IMKdfB,on-topic
1196,It's amazing how someone could write letters upon notes upon little love sayings and today it means nothing. Mind blowing.,off-topic
1197,"I want to see some Slutty outfit tonight. Fuck it, it's #Halloween weekend  @ H.K. Lounge http://t.co/WovZhfPr",off-topic
1198,#GottaAceMySATexam : !!! We really wish we managed to find that earlier http://t.co/GdtZvzAg you better get it now...,off-topic
1199,@JosnellyC: I really hate when people ask questions about the news when the news is on. SHUT THE FUCK UP AND LISTEN #cabinfever,off-topic
1200,@mikeybaha why are you not on voxer,off-topic
1201,Sitting at a metal bar in brooklyn.....,off-topic
1202,oh gawd! all these freaks on my twitter feed are comin outta no where tho!!!,off-topic
1203,@AlEXANDRANiC0LE I know I'm such a procrastinator!!,off-topic
1204,Otoo en #NYC sin #Sandy  @ Central Park &amp; Fifth Ave http://t.co/xdYqTCPk,on-topic
1205,mister east was wild tonight ;) hope you all had fun  #makeupartist #zombiefest #halloweenweekend http://t.co/Af9ljjCG,off-topic
1206,"I'm at Route 18 David's Bridal (East Brunswick, New Jersey) http://t.co/zQzv3aTn",off-topic
1207,@Pfro @ChrisLicht you know U nuts or I wouldn't b following you :-),off-topic
1208,@OscarLichen: Guys the hurricane hits tonight. Winds will be 70-80mph,on-topic
1209,"Oooooo ooooh EXACTLY----&gt;&gt;&gt;&gt;&gt; @Lenny_Banx: Everyday is a sweatpants day for the girls in cr, most of them have no class",off-topic
1210,Sachin's befriended the security who also knows all the words to every big... (w/ Viraj &amp; Sachin at @galwayhookernyc)  http://t.co/65Xsw4gk,off-topic
1211,Ctfu we funny as hell ',off-topic
1212,I wonder if anything is open,off-topic
1213,@SouthpawCapture @airlineflyer that is the movie that got me so into wanting to be an #ATC. End result was being an #avgeek #diehard2,off-topic
1214,@ducidni lemme get something!,off-topic
1215,This nigga Norris Cole gotta chill b...enough is enough yo http://t.co/VEIJ2yEc,off-topic
1216,"@BrooklynFagut lol, that is our plan today &amp; tonight.",off-topic
